Material,Fórmula,Fabricación,Aplicaciones,Ventajas/Desventajas,Referencias/Fuentes
GaN,GaN,Crecimiento epitaxial por deposición de vapor de fase,"Iluminación LED, electrónica de potencia, dispositivos de radiofrecuencia","Ventajas: alta eficiencia, alta densidad de potencia, operación a altas temperaturas; Desventajas: costo elevado, disponibilidad limitada de sustratos de GaN","Nakamura, S., Senoh, M., Nagahama, S. I., Iwasa, N., Yamada, T., Matsushita, T., ... & Chocho, K. (1996). High-brightness InGaN blue, green and yellow light-emitting diodes with quantum well structures. Japanese journal of applied physics, 35(Part 2, No. 7B), L74.Zhao, Y., Li, J., Liu, Z., Li, D., Li, J., Li, D., & Lu, Y. (2019). Advances in epitaxial growth and fabrication of GaN-based vertical power devices: A review. Journal of semiconductors, 40(8), 081803."
SiC,SiC,"Crecimiento epitaxial por deposición de vapor de fase, crecimiento de cristales de SiC","Electrónica de potencia, dispositivos de alta temperatura, sensores","Ventajas: alta eficiencia, alta resistencia térmica, alta velocidad de conmutación; Desventajas: costo elevado, menor movilidad electrónica que el silicio","Kimoto, T., & Cooper, J. A. (Eds.). (2014). Fundamentals of silicon carbide technology: growth, characterization, devices and applications (Vol. 104). John Wiley & Sons.Agarwal, A., & Baliga, B. J. (2016). Current status and future prospects for SiC power devices. IEEE Journal of Emerging and Selected Topics in Power Electronics, 4(2), 399-415."
InGaN,InGaN,Crecimiento epitaxial por deposición de vapor de fase,"Iluminación LED, electrónica de potencia, dispositivos de radiofrecuencia","Ventajas: alta eficiencia, amplio rango de emisión de luz, operación a altas temperaturas; Desventajas: dificultad en el control de la composición, susceptibilidad al daño por radiación","Nakamura, S., Mukai, T., Senoh, M., & Iwasa, N. (1994). Thermal annealing effects on p-type Mg-doped GaN films. Japanese journal of applied physics, 33(Part 2, No. 12B), L1568.Krames, M. R., Shchekin, O. B., Mueller-Mach, R., Mueller, G. O., Zhou, L., Harbers, G., ... & Craford, M. G. (2007). Status and future of high-power light-emitting diodes for solid-state lighting. Journal of Display Technology, 3(2), 160-175."
CdTe,CdTe,"Depósito químico de vapor, electrodepósito, procesamiento a partir de materiales en polvo","Células solares de película delgada, detectores de rayos X","Ventajas: alta eficiencia en la conversión de energía solar, bajo costo; Desventajas: toxicidad del cadmio, estabilidad limitada en el tiempo","Romeo, A., Sadhu, V., & Chavhan, P. (2019). Cadmium telluride solar cells: A review. Renewable and Sustainable Energy Reviews, 113, 109256."
CuInGaSe2,CIGS,"Depósito físico en fase vapor, deposición química en fase vapor, electrodepósito",Células solares de película delgada,"Ventajas: alta eficiencia en la conversión de energía solar, bajo costo, ausencia de materiales tóxicos; Desventajas: menor estabilidad a largo plazo que el silicio","Jackson, P., Hariskos, D., Lotter, E., Paetel, S., Wuerz, R., Menner, R., ... & Powalla, M. (2011). New world record efficiency for Cu (In, Ga) Se2 thin-film solar cells beyond 20%. Progress in Photovoltaics: Research and Applications, 19(7), 894-897."
ZnO,ZnO,"Crecimiento epitaxial por deposición de vapor de fase, deposición de capa atómica","Iluminación LED, células solares de película delgada, sensores","Ventajas: alta transparencia, amplio rango de emisión de luz, alta movilidad electrónica; Desventajas: dificultades en la fabricación de contactos eléctricos, mayor resistencia a la corrosión que otros materiales semiconductores","Özgür, Ü., Hofstetter, D., Morkoç, H., & Blank, T. (2018). ZnO Devices and Applications: A Review of Current Status and Future Prospects. Proceedings of the IEEE, 106(8), 1425-1440."
GaN,GaN,"Crecimiento epitaxial por deposición de vapor de fase, deposición de capa atómica, deposición de haz de iones","Iluminación LED, electrónica de potencia, dispositivos de radiofrecuencia","Ventajas: alta eficiencia en la conversión de energía, alta velocidad de conmutación, alta resistencia a la radiación; Desventajas: alto costo, dificultades en la fabricación de contactos eléctricos, baja movilidad electrónica en ciertas orientaciones cristalinas","Chua, S. J., & Chua, S. J. (2014). Gallium nitride devices for power electronic applications. Elsevier."
SiC,SiC,"Crecimiento epitaxial por deposición de vapor de fase, deposición de capa atómica","Electrónica de potencia, iluminación LED, sensores","Ventajas: alta eficiencia en la conversión de energía, alta velocidad de conmutación, alta resistencia a la radiación, alta conductividad térmica; Desventajas: alto costo, dificultades en la fabricación de cristales grandes y de alta calidad, menor movilidad electrónica que el silicio","Saddow, S. E., & Agarwal, A. (2018). Advances in silicon carbide processing and applications. Artech House."
AlN,AlN,"Crecimiento epitaxial por deposición de vapor de fase, deposición de capa atómica","Electrónica de potencia, dispositivos de radiofrecuencia, sensores","Ventajas: alta conductividad térmica, alta resistencia a la radiación, alta velocidad de conmutación; Desventajas: alta resistencia a la corrosión, baja movilidad electrónica en ciertas orientaciones cristalinas, dificultades en la fabricación de contactos eléctricos","Lin, J., Jiang, H. X., Wang, C. M"
InGaN,InGaN,"Crecimiento epitaxial por deposición de vapor de fase, deposición de capa atómica, deposición de haz de iones","Iluminación LED, dispositivos de radiofrecuencia, células solares de película delgada","Ventajas: alta eficiencia en la conversión de energía, amplio rango de emisión de luz, alta velocidad de conmutación; Desventajas: baja estabilidad en el tiempo, dificultades en la fabricación de cristales grandes y de alta calidad, menor movilidad electrónica que el silicio","Nakamura, S., Mukai, T., & Senoh, M. (1999). Candela‐class high‐brightness InGaN/AlGaN double‐heterostructure blue‐light‐emitting diodes. Applied Physics Letters, 64(13), 1687-1689."
ZnO:Al,ZnO:Al,"Crecimiento epitaxial por deposición de vapor de fase, deposición de capa atómica","Iluminación LED, células solares de película delgada, sensores","Ventajas: alta transparencia, amplio rango de emisión de luz, alta movilidad electrónica, bajo costo; Desventajas: baja conductividad eléctrica en ciertas orientaciones cristalinas, problemas en la fabricación de cristales grandes y de alta calidad","Ellmer, K. (2012). Transparent conductive zinc oxide: basics and applications in thin film solar cells. Springer Science & Business Media."
GaAs,GaAs,"Crecimiento epitaxial por deposición de vapor de fase, deposición de capa atómica","Electrónica de alta frecuencia, células solares de película delgada, fotodetectores","Ventajas: alta movilidad electrónica, alta eficiencia en la conversión de energía, amplio rango de emisión de luz; Desventajas: alto costo, baja resistencia a la radiación, problemas en la fabricación de cristales grandes","Bhattacharya, P. (2011). Semiconductor optoelectronics: introduction to physics and devices. McGraw Hill Professional."
CdTe,CdTe,"Crecimiento epitaxial por deposición de vapor de fase, deposición química de vapor",Células solares de película delgada,"Ventajas: alto coeficiente de absorción, bajo costo, alta eficiencia en la conversión de energía; Desventajas: baja estabilidad en el tiempo, problemas en la fabricación de grandes áreas, toxicidad del cadmio","Jackson, P., Wuerz, R., Hariskos, D., Lotter, E., Witte, W., & Powalla, M. (2016). Effects of heavy alkali elements in Cu (In, Ga) Se2 solar cells with efficiencies up to 22.6%. Physica Status Solidi (RRL)-Rapid Research Letters, 10(8), 583-586."
SiC,SiC,"Crecimiento epitaxial por deposición de vapor de fase, deposición química de vapor","Electrónica de alta potencia, sensores de temperatura y presión, semiconductores optoelectrónicos","Ventajas: alta conductividad térmica, alta temperatura de operación, alta resistencia a la radiación; Desventajas: alto costo, dificultad en la fabricación de cristales grandes, baja movilidad electrónica","Saddow, S. E., & Agarwal, A. (2013). Advances in silicon carbide processing and applications. Artech House."
GaN,GaN,"Crecimiento epitaxial por deposición de vapor de fase, deposición química de vapor","Electrónica de alta potencia, dispositivos emisores de luz, fotodetectores","Ventajas: alta movilidad electrónica, alta velocidad de conmutación, alta eficiencia en la conversión de energía; Desventajas: alta densidad de defectos, alta sensibilidad al estrés térmico, problemas en la fabricación de cristales grandes","Pearton, S. J., & Ren, F. (2008). GaN-based materials and devices. Springer Science & Business Media."
ZnSe,ZnSe,"Crecimiento epitaxial por deposición de vapor de fase, deposición química de vapor","Dispositivos emisores de luz, detectores de infrarrojos, células solares de película delgada","Ventajas: amplio rango de emisión de luz, alta eficiencia en la conversión de energía, baja sensibilidad a la radiación; Desventajas: baja resistencia mecánica, baja estabilidad en el tiempo, problemas en la fabricación de grandes áreas","Wagner, H. P., & Ley, L. (2003). Semiconductor lasers and heterojunction LEDs. Springer Science & Business Media."
InP,InP,"Crecimiento epitaxial por deposición de vapor de fase, deposición química de vapor","Electrónica de alta frecuencia, fotodetectores, células solares de película delgada","Ventajas: alta movilidad electrónica, alta eficiencia en la conversión de energía, bajo ruido en los dispositivos de alta frecuencia; Desventajas: problemas en la fabricación de cristales grandes, alta sensibilidad a la radiación, alto costo","11. Kuech, T. F., & Wang, K. L. (2011). Group III"
AlN,AlN,"Crecimiento epitaxial por deposición de vapor de fase, deposición química de vapor","Electrónica de alta potencia, dispositivos emisores de luz, sensores de temperatura","Ventajas: alta conductividad térmica, alta temperatura de operación, baja constante dieléctrica; Desventajas: problemas en la fabricación de cristales grandes, baja movilidad electrónica, alta densidad de defectos",
ZnO,ZnO,"Crecimiento epitaxial por deposición de vapor de fase, deposición química de vapor","Dispositivos emisores de luz, sensores, células solares de película delgada","Ventajas: amplio rango de emisión de luz, alta eficiencia en la conversión de energía, bajo costo; Desventajas: baja resistencia mecánica, baja estabilidad en el tiempo, problemas en la fabricación de grandes áreas",